Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
2004	-4792.299	-4904.472	112.1735	0.830138	1.15054	6.757806
2010	-4797.032	-4909.301	112.2692	0.7344744	1.15054	6.757806
2016	-4797.975	-4910.471	112.4953	0.7165573	1.397407	6.533886
2022	-4799.424	-4911.165	111.7411	0.7817805	1.133817	7.025154
2028	-4805.436	-4915.558	110.1222	0.761517	1.302157	7.826137
2034	-4806.637	-4917.254	110.6168	0.7935299	1.422677	7.493469
2040	-4798.952	-4909.426	110.4741	0.7494005	1.260535	7.662981
2046	-4798.428	-4908.737	110.309	0.7385303	1.260535	7.757041
2052	-4801.153	-4913.345	112.1918	0.8729936	1.173664	6.713626
2058	-4805.715	-4918.38	112.665	0.7402389	1.168837	6.531828
2064	-4809.561	-4920.309	110.7486	0.5790673	1.206949	7.631702
2070	-4813.855	-4924.944	111.0895	0.6874321	1.344536	7.329643
2076	-4805.813	-4916.942	111.1288	0.795201	1.207463	7.311926
2082	-4808.068	-4919.362	111.294	0.8331976	1.223622	7.195318
2088	-4796.036	-4906.749	110.7128	0.7012678	1.201922	7.587795
2094	-4799.564	-4909.941	110.3763	0.619744	1.30607	7.764403
2100	-4801.662	-4911.907	110.2446	0.7104286	1.25176	7.810445
2106	-4809.06	-4919.275	110.2154	0.7980145	1.476894	7.684029
2112	-4804.335	-4914.896	110.5609	0.7088259	1.161676	7.684029
2118	-4808.133	-4919.556	111.4222	0.8299016	1.323422	7.083454
2124	-4807.654	-4917.957	110.3035	0.69969	1.197159	7.809721
2130	-4811.518	-4921.724	110.2055	0.7903285	1.315846	7.760259
2136	-4802.906	-4912.642	109.7358	0.701555	1.202229	8.109267
2142	-4813.129	-4924.23	111.1009	0.6928718	1.225914	7.373213
2148	-4800.874	-4911.426	110.552	0.6755026	1.225914	7.676531
2154	-4807.423	-4919.784	112.3616	0.8264733	1.279463	6.597973
2160	-4802.586	-4914.527	111.9406	0.7744146	1.271267	6.857169
2166	-4804.009	-4914.941	110.9319	0.7744146	1.197204	7.433463
2172	-4806.408	-4917.098	110.6901	0.8199748	1.43867	7.433463
2178	-4812.535	-4924.213	111.6776	0.7962793	1.426616	6.920363
2184	-4789.405	-4900.136	110.7304	0.6488645	1.310589	7.55745
2190	-4797.894	-4909.204	111.3093	0.7134298	1.310589	7.21237
2196	-4803.126	-4912.978	109.8516	0.655193	1.16722	8.088668
